probe_tag,is_baseline,capture_strength,capture_midpoint_s,capture_tau_s,human_earliest_incongruent_caf,probe_earliest_incongruent_caf,human_first_delta,probe_first_delta,human_incongruent_error_minus_correct_rt,probe_incongruent_error_minus_correct_rt,human_incongruent_conditional_tail,probe_incongruent_conditional_tail,n_trials_total,total_score,model_accuracy,response_agreement,model_congruency_rt_gap,distance_to_human_earliest_incongruent_caf,distance_to_human_first_delta,distance_to_human_incongruent_error_minus_correct_rt,distance_to_human_incongruent_conditional_tail,total_distance_to_human
baseline,True,0.0,0.05,0.03,0.7457536629186916,1.0,0.02139571986010993,0.06470001778596099,-0.11255520702780251,0.48699171549342485,0.792671977909175,1.1896354370013187,288579.0,0.549391232414592,0.9992480395316361,0.9366897799216162,0.11912101925131358,0.2542463370813084,0.04330429792585106,0.5995469225212273,0.3969634590921437,1.2940610166205304
capture_strength_0.05,False,0.05,0.05,0.03,0.7457536629186916,1.0,0.02139571986010993,0.06472198413275512,-0.11255520702780251,0.4869336065185662,0.792671977909175,1.1896354370013187,288579.0,0.5493768969401609,0.9992480395316361,0.9366897799216162,0.11917912171069982,0.2542463370813084,0.043326264272645194,0.5994888135463687,0.3969634590921437,1.294024873992466
capture_strength_0.10,False,0.1,0.05,0.03,0.7457536629186916,1.0,0.02139571986010993,0.06473247285429193,-0.11255520702780251,0.48687818867238253,0.792671977909175,1.1896354370013187,288579.0,0.5493702784352745,0.9992515047872507,0.9366932451772305,0.11923092949316422,0.2542463370813084,0.043336752994182,0.5994333957001851,0.3969634590921437,1.2939799448678193
capture_strength_0.15,False,0.15,0.05,0.03,0.7457536629186916,1.0,0.02139571986010993,0.06475174761945719,-0.11255520702780251,0.48681904083751043,0.792671977909175,1.1896354370013187,288579.0,0.5493575105357991,0.9992515047872507,0.9366932451772305,0.11928991806051924,0.2542463370813084,0.043356027759347264,0.5993742478653129,0.3969634590921437,1.2939400717981124
capture_strength_0.20,False,0.2,0.05,0.03,0.7457536629186916,1.0,0.02139571986010993,0.06476429138172383,-0.11255520702780251,0.4867700467811802,0.792671977909175,1.1896354370013187,288579.0,0.5493536731796845,0.9992480395316361,0.9366897799216162,0.11934246909139644,0.2542463370813084,0.043368571521613906,0.5993252538089827,0.3969634590921437,1.2939036215040487
capture_strength_0.25,False,0.25,0.05,0.03,0.7457536629186916,1.0,0.02139571986010993,0.06476590528996054,-0.11255520702780251,0.4867192363542713,0.792671977909175,1.1896354370013187,288579.0,0.5494528893953862,0.9992480395316361,0.9366897799216162,0.11939300755697116,0.2542463370813084,0.04337018542985061,0.5992744433820738,0.3969634590921437,1.2938544249853765
capture_strength_0.30,False,0.3,0.05,0.03,0.7457536629186916,1.0,0.02139571986010993,0.06477763800076587,-0.11255520702780251,0.4866629157573158,0.792671977909175,1.1896354370013187,288579.0,0.5493340565644418,0.9992480395316361,0.9366897799216162,0.11944927506475433,0.2542463370813084,0.043381918140655944,0.5992181227851183,0.3969634590921437,1.2938098370992264
