age_group,n_trials_selected,baseline_scale,stage2_config_path,stage2_params_path,selection_pool,human_earliest_incongruent_caf,human_first_delta,human_incongruent_error_minus_correct_rt,human_incongruent_conditional_tail,baseline_earliest_incongruent_caf,baseline_first_delta,baseline_incongruent_error_minus_correct_rt,baseline_incongruent_conditional_tail,sim_earliest_incongruent_caf,sim_first_delta,sim_incongruent_error_minus_correct_rt,sim_incongruent_conditional_tail
20-29,278111,0.1,artifacts/checkpoints/age_groups/archive_stage2_pre_cached_restart/20-29/best_config.pre_cached_restart.json,artifacts/checkpoints/age_groups/archive_stage2_pre_cached_restart/20-29/best_model_params.pre_cached_restart.npz,train_plus_test_fallback_due_to_test_only_insufficiency,0.907343466343929,0.027861714363098145,-0.0448266863822937,0.7403994202613831,1.0,0.055930525064468384,0.42955291271209717,1.100000023841858,1.0,0.04457002878189087,0.3215838074684143,1.100000023841858
80-89,126614,0.10000000149011612,artifacts/checkpoints/age_groups/80-89/stage2/best_config.json,artifacts/checkpoints/age_groups/80-89/stage2/best_model_params.npz,train_plus_test_fallback_due_to_test_only_insufficiency,0.887563211125158,0.05070769786834717,-0.2331005334854126,1.1293998956680298,1.0,0.12087947130203247,0.9571383595466614,1.9199999570846558,1.0,0.1679893136024475,0.5657675266265869,1.9199999570846558
