age_group,best_scale,best_score,human_mean_rt,model_mean_rt,human_median_rt,model_median_rt,human_skew,model_skew,human_accuracy,model_accuracy,response_agreement,human_congruency_rt_gap,model_congruency_rt_gap,human_error_minus_correct,model_error_minus_correct,model_error_count,human_error_count
20-29 matched,0.10000000149011612,0.5543113350868225,0.624267881933965,0.7444201707839966,0.602,0.7599999904632568,71.6653996719502,-0.454109251499176,0.9484819218929197,0.8069656546145952,0.7711414257258405,0.03375521015961658,0.10373872518539429,-0.06438387828748626,0.30432480573654175,6396,1707
80-89,0.10000000149011612,0.5745844841003418,0.8382647963227137,0.9389234185218811,0.791,0.8600000143051147,25.813192505842466,0.9077427387237549,0.9614835948644793,0.936693612299889,0.9018227928356316,0.08296488505355892,0.25700104236602783,-0.10135804422952455,1.0473823547363281,1997,1215
