age_group,probe_tag,is_baseline,capture_strength,capture_midpoint_s,capture_tau_s,scale,time_steps,n_trials_total,total_score,model_accuracy,response_agreement,model_congruency_rt_gap,human_earliest_incongruent_caf,pred_earliest_incongruent_caf,human_first_delta,pred_first_delta,human_incongruent_error_minus_correct_rt,pred_incongruent_error_minus_correct_rt,human_incongruent_conditional_tail,pred_incongruent_conditional_tail
20-29,baseline,True,0.0,0.05,0.03,0.1,111,257034,0.5435998439788818,0.999179096928811,0.9336702537407503,0.11518502235412598,0.734946779582006,1.0,0.019468635320663452,0.05685308575630188,-0.10848104953765869,0.42940008640289307,0.765999972820282,1.100000023841858
20-29,capture_strength_0.05,False,0.05,0.05,0.03,0.1,111,257034,0.543605387210846,0.999179096928811,0.9336702537407503,0.11524158716201782,0.734946779582006,1.0,0.019468635320663452,0.056868135929107666,-0.10848104953765869,0.4293435215950012,0.765999972820282,1.100000023841858
20-29,capture_strength_0.10,False,0.1,0.05,0.03,0.1,111,257034,0.543609082698822,0.9991829874646934,0.9336741442766326,0.11529529094696045,0.734946779582006,1.0,0.019468635320663452,0.05687570571899414,-0.10848104953765869,0.42928576469421387,0.765999972820282,1.100000023841858
20-29,capture_strength_0.15,False,0.15,0.05,0.03,0.1,111,257034,0.5436148643493652,0.9991829874646934,0.9336741442766326,0.11535346508026123,0.734946779582006,1.0,0.019468635320663452,0.05690479278564453,-0.10848104953765869,0.42922741174697876,0.765999972820282,1.100000023841858
20-29,capture_strength_0.20,False,0.2,0.05,0.03,0.1,111,257034,0.5436217188835144,0.999179096928811,0.9336702537407503,0.11540800333023071,0.734946779582006,1.0,0.019468635320663452,0.05691775679588318,-0.10848104953765869,0.42917686700820923,0.765999972820282,1.100000023841858
20-29,capture_strength_0.25,False,0.25,0.05,0.03,0.1,111,257034,0.5437475442886353,0.999179096928811,0.9336702537407503,0.11545896530151367,0.734946779582006,1.0,0.019468635320663452,0.056918442249298096,-0.10848104953765869,0.4291256070137024,0.765999972820282,1.100000023841858
20-29,capture_strength_0.30,False,0.3,0.05,0.03,0.1,111,257034,0.5436322689056396,0.999179096928811,0.9336702537407503,0.11551487445831299,0.734946779582006,1.0,0.019468635320663452,0.05693322420120239,-0.10848104953765869,0.4290696382522583,0.765999972820282,1.100000023841858
